,gross_p50,gross_p10,gross_p90,p50,p10,p90,solar_mw
2025-06-11 23:15:00,7208.447366811991,6329.824333239378,8029.9971631353355,7208.447366811991,6329.824333239378,8029.9971631353355,0.0
2025-06-11 23:30:00,7201.546937921139,6327.811384722013,8023.411110254676,7201.546937921139,6327.811384722013,8023.411110254676,0.0
2025-06-11 23:45:00,7183.781962669902,6315.673074642884,8004.4476446873205,7183.781962669902,6315.673074642884,8004.4476446873205,0.0
2025-06-12 00:00:00,7100.657251628559,6501.522947109253,7665.163750816177,7100.657251628559,6501.522947109253,7665.163750816177,0.0
2025-06-12 00:15:00,7054.982630768519,6460.201454485895,7615.925725893167,7054.982630768519,6460.201454485895,7615.925725893167,0.0
2025-06-12 00:30:00,6982.138024615038,6392.702728088706,7536.777941680257,6982.138024615038,6392.702728088706,7536.777941680257,0.0
2025-06-12 00:45:00,6907.933660763425,6324.156967100675,7456.166431691603,6907.933660763425,6324.156967100675,7456.166431691603,0.0
2025-06-12 01:00:00,6821.24045875386,6243.743432193509,7361.817020607614,6821.24045875386,6243.743432193509,7361.817020607614,0.0
2025-06-12 01:15:00,6751.274570343077,6177.482698593502,7286.01816914795,6751.274570343077,6177.482698593502,7286.01816914795,0.0
2025-06-12 01:30:00,6675.1391366799835,6105.520896954174,7203.435082924975,6675.1391366799835,6105.520896954174,7203.435082924975,0.0
2025-06-12 01:45:00,6606.091159767576,6040.766310627342,7128.675297158023,6606.091159767576,6040.766310627342,7128.675297158023,0.0
2025-06-12 02:00:00,6522.644412883415,5962.313391171158,7038.047093026746,6522.644412883415,5962.313391171158,7038.047093026746,0.0
2025-06-12 02:15:00,6452.845558896557,5897.057565167007,6962.476027896111,6452.845558896557,5897.057565167007,6962.476027896111,0.0
2025-06-12 02:30:00,6387.005015642696,5835.974851378867,6891.259713470287,6387.005015642696,5835.974851378867,6891.259713470287,0.0
2025-06-12 02:45:00,6314.951779676217,5769.167720323821,6813.179800661371,6314.951779676217,5769.167720323821,6813.179800661371,0.0
2025-06-12 03:00:00,6232.159668711691,5692.2308685764565,6723.240575178926,6232.159668711691,5692.2308685764565,6723.240575178926,0.0
2025-06-12 03:15:00,6155.9206169558765,5621.1839562217265,6640.527015464561,6155.9206169558765,5621.1839562217265,6640.527015464561,0.0
2025-06-12 03:30:00,6097.600009544575,5567.89208792059,6577.532296903097,6097.600009544575,5567.89208792059,6577.532296903097,0.0
2025-06-12 03:45:00,6024.410928103547,5500.442188479437,6498.107826417192,6024.410928103547,5500.442188479437,6498.107826417192,0.0
2025-06-12 04:00:00,5945.3163769775765,5427.551346437484,6412.128220714471,5945.3163769775765,5427.551346437484,6412.128220714471,0.0
2025-06-12 04:15:00,5869.476238405162,5356.915993330739,6329.729409274649,5869.476238405162,5356.915993330739,6329.729409274649,0.0
2025-06-12 04:30:00,5806.714153866721,5299.299155640262,6261.691053033827,5806.714153866721,5299.299155640262,6261.691053033827,0.0
2025-06-12 04:45:00,5743.4218067801285,5241.447417015739,6193.006917490924,5743.4218067801285,5241.447417015739,6193.006917490924,0.0
2025-06-12 05:00:00,5662.439944010413,5166.650345250086,6104.756654353612,5662.439944010413,5166.650345250086,6104.756654353612,0.0
2025-06-12 05:15:00,5585.3103580787,5083.347508729911,6021.137911722523,5585.3103580787,5083.347508729911,6021.137911722523,0.0
2025-06-12 05:30:00,5488.083131335382,4980.730600025662,5915.289632265913,5488.083131335382,4980.730600025662,5915.289632265913,0.0
2025-06-12 05:45:00,5385.745898497393,4873.371590911909,5803.729506026289,5300.112682203241,4787.7383746177575,5718.096289732137,85.63321629415196
2025-06-12 06:00:00,5330.96406288585,4812.509897501076,5744.5096609178945,5159.976948050039,4641.522782665265,5573.522546082084,170.98711483581093
2025-06-12 06:15:00,5302.753155258266,4783.761861996681,5714.274163949336,5046.96986630933,4527.978573047745,5458.490875000401,255.78328894893568
2025-06-12 06:30:00,5281.740313071011,4762.201914404022,5691.884910573652,4941.995161932365,4422.456763265376,5352.1397594350055,339.7451511386465
2025-06-12 06:45:00,5221.558237556255,4702.687154270086,5626.226396762915,4798.959402294111,4280.088319007941,5203.627561500771,422.5988352621445
2025-06-12 07:00:00,5206.089391737381,4686.834525837769,5609.764375053216,4702.015301914236,4182.760436014624,5105.690285230071,504.07408982314513
2025-06-12 07:15:00,5212.243993057838,4689.731839098397,5617.132288916457,4628.338833581751,4105.826679622311,5033.227129440369,583.9051594760872
2025-06-12 07:30:00,5206.492134804875,4681.149705934326,5611.278951241649,4544.660482940043,4019.318054069495,4949.447299376818,661.8316518648319
2025-06-12 07:45:00,5203.95192366581,4675.781178155197,5608.868921165245,4466.3525366974045,3938.1817911867915,4871.26953419684,737.5993869684056
2025-06-12 08:00:00,5217.987751234126,4686.612195262151,5624.633965021569,4407.02652505073,3875.6509690787543,4813.672738838172,810.9612261833963
2025-06-12 08:15:00,5247.918979950579,4712.555975430275,5657.838421261498,4366.24110151187,3830.878096991565,4776.160542822789,881.6778784387097
2025-06-12 08:30:00,5275.012052159005,4735.763528218466,5687.817010186738,4325.493371445699,3786.24484750516,4738.298329473432,949.5186807133056
2025-06-12 08:45:00,5313.754410508024,4770.313158500773,5730.540745655718,4299.492060096995,3756.0508080897444,4716.278395244689,1014.262350411029
2025-06-12 09:00:00,5417.282223168836,4867.896530257557,5844.585489511454,4341.584516030391,3792.1988231191117,4768.887782373009,1075.6977071384451
2025-06-12 09:15:00,5601.1581809852,5044.849389787943,6047.064286075425,4467.533819453813,3911.225028256556,4913.439924544038,1133.6243615313874
2025-06-12 09:30:00,5751.032602667898,5188.653544155572,6211.969816919379,4563.179233784485,4000.800175272159,5024.116448035966,1187.8533688834127
2025-06-12 09:45:00,5880.467016614761,5312.48664422523,6354.254028519623,4642.2591711706,4074.278798781069,5116.046183075462,1238.2078454441607
2025-06-12 10:00:00,5994.452437837784,5421.185756212971,6479.421541440223,4709.928892460401,4136.662210835588,5194.89799606284,1284.5235453773835
2025-06-12 10:15:00,6101.534185265304,5524.258407762865,6596.851344056301,4774.884788768582,4197.609011266144,5270.20194755958,1326.6493964967215
2025-06-12 10:30:00,6181.502999165333,5600.806453079249,6684.313343945995,4817.055006133555,4236.358460047471,5319.865350914218,1364.4479930317775
2025-06-12 10:45:00,6267.817883359102,5683.37385174274,6778.69492752926,4870.021839541923,4285.5778079255615,5380.898883712081,1397.7960438171785
2025-06-12 11:00:00,6327.025546465966,5739.38542653974,6843.123016623076,4900.440772023236,4312.80065209701,5416.538242180346,1426.5847744427303
2025-06-12 11:15:00,6260.993062039506,5674.5307401135915,6769.3811335662895,4810.272779986571,4223.810458060656,5318.660851513354,1450.7202820529355
2025-06-12 11:30:00,6325.998776713707,5736.9953674141125,6840.02665104472,4855.874935075117,4266.871525775522,5369.90280940613,1470.1238416385902
2025-06-12 11:45:00,6388.913225207477,5797.200607329106,6908.3092927572425,4904.181062386078,4312.468444507707,5423.577129935844,1484.732162821399
2025-06-12 12:00:00,6576.246167929234,5978.252570482358,7113.692412662172,5081.748571635197,4483.754974188321,5619.1948163681345,1494.497596294037
2025-06-12 12:15:00,6632.922540941336,6033.106641446716,7174.95534443242,5133.534251699051,4533.718352204432,5675.567055190137,1499.388289242284
2025-06-12 12:30:00,6720.651674197966,6117.916706994922,7270.408213705705,5221.263384955682,4618.528417752637,5771.0199244634205,1499.388289242284
2025-06-12 12:45:00,6760.837201881338,6156.18049695352,7313.416170561661,5266.339605587301,4661.682900659483,5818.918574267624,1494.497596294037
2025-06-12 13:00:00,6705.0564447476,6100.762299769512,7250.606488903103,5220.3242819262005,4616.030136948112,5765.874326081704,1484.7321628213992
2025-06-12 13:15:00,6750.994668775125,6146.96315668283,7299.484589608931,5280.870827136535,4676.83931504424,5829.3607479703405,1470.1238416385902
2025-06-12 13:30:00,6811.073456428232,6206.622567512011,7363.933779739379,5360.3531743752965,4755.902285459076,5913.213497686444,1450.7202820529358
2025-06-12 13:45:00,6941.4250579171985,6334.36265955304,7505.83778851626,5514.840283474468,4907.77788511031,6079.253014073529,1426.5847744427306
2025-06-12 14:00:00,7032.713326891244,6423.771157611318,7604.676249827733,5634.917283074065,5025.975113794139,6206.8802060105545,1397.7960438171785
2025-06-12 14:15:00,7210.834748442026,6598.4842371393115,7799.509763257439,5846.386755410248,5234.036244107534,6435.061770225661,1364.4479930317777
2025-06-12 14:30:00,7303.084704169019,6685.667948869768,7899.164993208702,5976.435307672297,5359.018552373047,6572.515596711981,1326.6493964967215
2025-06-12 14:45:00,7368.018008694985,6746.039038971322,7968.736360104041,6083.494463317602,5461.515493593939,6684.212814726658,1284.5235453773835
2025-06-12 15:00:00,7459.797976615512,6830.66635109887,8067.699125712293,6221.5901311713515,5592.458505654709,6829.491280268132,1238.2078454441612
2025-06-12 15:15:00,7512.51856545295,6881.212137160227,8123.882019956681,6324.665196569536,5693.358768276814,6936.028651073268,1187.8533688834127
2025-06-12 15:30:00,7535.3137930527555,6903.585647927756,8147.293799880746,6401.6894315213685,5769.961286396368,7013.669438349358,1133.6243615313874
